School,Conference,AAC,Big10,Big12,CUSA,Ind,ACC,MAC,MWC ,Pac12,SEC,SunBelt,School(Shortened),Conference(Shortened),Coach,SchoolPay,TotalPay,Bonus,BonusPaid,AssistantPay,Buyout,GSR,FGR,StadiumCapacity,Stadium,Win,Loss,Ratio
University of Utah,Pac-12 Conference,0,0,0,0,0,0,0,0,1,0,0,Utah,Pac-12,Kyle Whittingham,3787917,3787917,935000,279167,0,9250000,92,70,47825,Rice–Eccles Stadium,11,3,78.60%
Utah State University,Mountain West Conference,0,0,0,0,0,0,0,1,0,0,0,Utah State,Mt. West,Matt Wells,900000,900000,765000,65000,0,2122917,91,67,25513,Merlin Olsen Field at Maverik Stadium,7,6,53.80%
Vanderbilt University,Southeastern Conference,0,0,0,0,0,0,0,0,0,1,0,Vanderbilt,SEC,Derek Mason,2812523,2812523,,,0,,95,80,40350,Vanderbilt Stadium,3,9,25.00%
University of Virginia,Atlantic Coast Conference,0,0,0,0,0,1,0,0,0,0,0,Virginia,ACC,Bronco Mendenhall,3550000,3550000,2165000,75000,0,18193750,90,77,61500,"Carl Smith Center, Home of David A. Harrison III Field at Scott Stadium",9,5,64.30%
Virginia Polytechnic Institute and State University,Atlantic Coast Conference,0,0,0,0,0,1,0,0,0,0,0,Virginia Tech,ACC,Justin Fuente,4000000,4000000,435000,75000,0,15000000,87,75,66233,Lane Stadium/Worsham Field,8,5,61.50%
Wake Forest University,Atlantic Coast Conference,0,0,0,0,0,1,0,0,0,0,0,Wake Forest,ACC,Dave Clawson,1831580,1831580,,,0,,88,73,31500,Truist Field,8,5,61.50%
University of Washington,Pac-12 Conference,0,0,0,0,0,0,0,0,1,0,0,Washington,Pac-12,Chris Petersen,4375000,4377500,1050000,300000,0,26354166,88,65,70500,Alaska Airlines Field at Husky Stadium,8,5,61.50%
Washington State University,Pac-12 Conference,0,0,0,0,0,0,0,0,1,0,0,Washington State,Pac-12,Mike Leach,3500000,3500000,725000,75000,0,4900000,82,59,32248,Martin Stadium,6,7,46.20%
West Virginia University,Big 12 Conference,0,0,1,0,0,0,0,0,0,0,0,West Virginia,Big 12,Dana Holgorsen,3605000,3617500,1000000,90000,0,7150000,69,58,60000,Mountaineer Field at Milan Puskar Stadium,5,7,41.70%
Western Kentucky University,Conference USA,0,0,0,1,0,0,0,0,0,0,0,Western Kentucky,C-USA,Mike Sanford Jr.,800000,805850,400000,0,0,1200000,64,46,22113,Houchens Industries–L. T. Smith Stadium at Jimmy Feix Field,9,4,69.20%
Western Michigan University,Mid-American Conference,0,0,0,0,0,0,1,0,0,0,0,Western Michigan,MAC,Tim Lester,800000,800000,346500,39250,0,800000,73,39,30200,Waldo Stadium,7,6,53.80%
University of Wisconsin-Madison,Big Ten Conference,0,1,0,0,0,0,0,0,0,0,0,Wisconsin,Big Ten,Paul Chryst,3750000,3750000,,290000,0,6000000,91,77,80321,Camp Randall Stadium,10,4,71.40%
University of Wyoming,Mountain West Conference,0,0,0,0,0,0,0,1,0,0,0,Wyoming,Mt. West,Craig Bohl,1412000,1412000,450000,236000,0,8016667,88,51,29181,Jonah Field at War Memorial Stadium,8,5,61.50%
